url,destLabel,destinationLabelId,MHID
/hotel-the-byzantium-istanbul-turkey,Turkey,14553,43806
/hotel-momento-istanbul-turkey,Turkey,14553,43809
/hotel-sultanahmet-palace-istanbul-turkey,Turkey,14553,43820
/hotel-star-city-istanbul-turkey,Turkey,14553,43825
/villa-kamari-star-hotel-santorini-greece,Greece,14546,43826
/hotel-strogili-santorini-greece,Greece,14546,43827
/calderas-dolphin-hotel-megalochori-santorini-greece,Greece,14546,43828
/hotel-konak-istanbul-turkey,Turkey,14553,43830
/hotel-darkhill-istanbul-turkey,Turkey,14553,43832
/hotel-palazzo-donizetti-istanbul-turkey,Turkey,14553,43833
/artemis-suites-hotel-megalochori-santorini-greece,Greece,14546,43836
/hotel-city-center-istanbul-turkey,Turkey,14553,43837
/hotel-tilia-istanbul-turkey,Turkey,14553,43841
/hotel-best-western-amber-istanbul-turkey,Turkey,14553,43846
/hotel-zurich-istanbul-turkey,Turkey,14553,43847
/hotel-the-pera-istanbul-turkey,Turkey,14553,43849
/hotel-kervansaray-istanbul-istanbul-turkey,Turkey,14553,43859
/hotel-yusuf-pasa-konagi-istanbul-turkey,Turkey,14553,43864
/hotel-best-western-the-president-istanbul-turkey,Turkey,14553,43871
/ramada-old-city-hotel-istanbul-turkey,Turkey,14553,43872
/hotel-klas-istanbul-turkey,Turkey,14553,43873
/hotel-grand-tahir-istanbul-turkey,Turkey,14553,43878
/paris-house-hotel-aghia-paraskevi-skiathos-greece,Greece,14546,43882
/syraina-studios-rooms-hotel-troulos-skiathos-greece,Greece,14546,43886
/emy-hotel-skiathos-town-skiathos-greece,Greece,14546,43887
/hotel-nippon-istanbul-turkey,Turkey,14553,43889
/marlton-hotel-skiathos-town-skiathos-greece,Greece,14546,43891
/esperos-studios-hotel-troulos-skiathos-greece,Greece,14546,43892
/hotel-richmond-istanbul-turkey,Turkey,14553,43894
/hotel-lion-istanbul-turkey,Turkey,14553,43895
/orient-hotel-mintur-istanbul-turkey,Turkey,14553,43904
/alghero-resort-country-hotel-alghero-italy,Italy,10234,43906
/hotel-tayhan-istanbul-turkey,Turkey,14553,43914
/hotel-vicenza-istanbul-turkey,Turkey,14553,43916
/hotel-venera-istanbul-turkey,Turkey,14553,43917
/cruccuris-resort-hotel-villasimius-cagliari-sardinia,Sardinia,11201,43918
/t-hotel-cagliari-sardinia,Sardinia,11201,43920
/hotel-prestige-istanbul-turkey,Turkey,14553,43922
/pullman-timi-ama-hotel-villasimius-cagliari-sardinia,Sardinia,11201,43923
/capo-boi-hotel-villasimius-cagliari-sardinia,Sardinia,11201,43924
/hotel-centrum-istanbul-turkey,Turkey,14553,43926
/hotel-grand-halic-istanbul-turkey,Turkey,14553,43933
/park-hotel-silemi-letojanni-catania-sicily,Sicily,11096,43937
/san-vincenzo-hotel-letojanni-catania-sicily,Sicily,11096,43943
/yachting-palace-grand-hotel-riposto-catania-sicily,Sicily,11096,43949
/fontane-bianche-beach-club-hotel-syracuse-catania-sicily,Sicily,11096,43953
/hotel-seres-istanbul-turkey,Turkey,14553,43954
/hotel-erbil-istanbul-turkey,Turkey,14553,43956
/il-principe-hotel-milazzo-catania-sicily,Sicily,11096,43959
/valide-sultan-konagi-hotel-istanbul-turkey,Turkey,14553,43971
/eremo-della-giubiliana-hotel-ragusa-catania-sicily,Sicily,11096,43972
/hotel-abel-istanbul-turkey,Turkey,14553,43975
/atlantis-palace-hotel-fondachello-catania-sicily,Sicily,11096,43976
/hotel-sunlight-istanbul-turkey,Turkey,14553,43981
/le-dune-village-hotel-mortelle-catania-sicily,Sicily,11096,43989
/inn-piero-hotel-taormina-catania-sicily,Sicily,11096,43992
/hotel-tryp-by-wyndham-istanbul-taksim-istanbul-turkey,Turkey,14553,43995
/palazzo-santa-caterina-hotel-taormina-catania-sicily,Sicily,11096,43996
/villa-chiara-hotel-taormina-catania-sicily,Sicily,11096,43997
/villa-diodoro-hotel-taormina-catania-sicily,Sicily,11096,43998
/hotel-adahan-istanbul-istanbul-turkey,Turkey,14553,44000
/caparena-wellness-club-hotel-taormina-mare-catania-sicily,Sicily,11096,44001
/hotel-kuran-international-istanbul-turkey,Turkey,14553,44002
/baia-azzurra-hotel-taormina-mare-catania-sicily,Sicily,11096,44003
/sole-castello-hotel-taormina-catania-sicily,Sicily,11096,44007
/hotel-ibis-istanbul-istanbul-turkey,Turkey,14553,44008
/villa-esperia-hotel-taormina-mare-catania-sicily,Sicily,11096,44010
/hotel-arden-park-istanbul-turkey,Turkey,14553,44011
/hotel-gezi-bosphorus-istanbul-turkey,Turkey,14553,44019
/hotel-double-tree-by-hilton-moda-istanbul-turkey,Turkey,14553,44024
/hotel-odda-istanbul-turkey,Turkey,14553,44028
/avalon-sikani-resort-hotel-gioiosa-marea-catania-sicily,Sicily,11096,44029
/da-peppe-hotel-letojanni-catania-sicily,Sicily,11096,44030
/le-terrazze-hotel-letojanni-catania-sicily,Sicily,11096,44031
/yesil-ev-green-house-hotel-istanbul-turkey,Turkey,14553,44032
/hellenia-yachting-hotel-giardini-naxos-catania-sicily,Sicily,11096,44034
/kalos-hotel-giardini-naxos-catania-sicily,Sicily,11096,44036
/hotel-princess-old-city-istanbul-turkey,Turkey,14553,44038
/hotel-samir-istanbul-turkey,Turkey,14553,44040
/santalphio-garden-hotel-giardini-naxos-catania-sicily,Sicily,11096,44042
/sporting-baia-hotel-giardini-naxos-catania-sicily,Sicily,11096,44045
/hilton-giardini-naxos-hotel-giardini-naxos-catania-sicily,Sicily,11096,44047
/naxos-beach-atahotel-giardini-naxos-catania-sicily,Sicily,11096,44048
/hotel-amethyst-istanbul-turkey,Turkey,14553,44049
/tysandros-hotel-giardini-naxos-catania-sicily,Sicily,11096,44050
/sciaron-hotel-ricadi-lamezia-italy,Italy,10234,44061
