Mhid,TA,StarRating
4088,295543,4
4092,460113,3
4096,316715,4
4097,530794,3
4098,313036,2
4099,602082,3
4102,969710,4
4103,1214264,3
4105,1160132,1
4106,953247,5
4112,1016636,3
4114,248970,4
4118,1371211,4
4120,1109130,3
4121,661921,4
4123,665699,3
4124,1083206,4
4126,940091,3
4132,3185993,1
4134,1095922,4
4136,228911,4
4139,1218767,2
4142,290677,4
4143,556774,3
4144,2157497,3
4147,1017314,3
4148,472077,4
4153,1145912,3
4155,1025279,4
4157,320605,5
4158,286368,3
4159,478738,4
4161,615478,3
4163,568991,4
4166,615411,3
4167,235705,3
4168,1123809,4
4172,250657,4
4173,228870,4
4176,505869,2
4179,250641,4
4181,261989,4
4183,250651,5
4185,1184657,4
4187,1160137,2
4188,206778,4
4189,234317,5
4191,584292,3
4193,478742,2
4195,313760,4
4196,478653,4
4198,1161566,3
4200,315711,2
4202,260309,4
4204,264022,4
4207,230390,3
4208,570105,4
4209,253977,3
4210,250578,4
4211,233049,4
4212,498799,5
4214,1128419,3
4215,1130793,4
4219,217616,4
4222,281639,1
4229,253904,3
4230,274198,4
4232,228871,4
4233,250618,5
4234,296465,5
4239,285733,5
4241,197721,3
4243,230392,5
4244,235724,5
4246,784576,2
4247,206779,5
4250,250589,4
4252,1190472,3
4253,228864,4
4256,574002,3
4259,569296,5
4260,231529,3
4263,508159,4
4267,582087,3
4268,535988,3
4271,530117,3
4272,232774,4
4274,601419,4
4275,267051,4
4276,231523,2
4279,224798,3
4280,582219,1
4282,316149,3
4285,87424,3
4288,224202,4
4289,262099,3
4290,148388,3
4291,231645,3
4294,270987,3
4295,647593,4
4296,1064681,3
4297,304481,5
4298,628986,5
4301,655239,4
4302,6700387,4
4303,619681,3
4304,301833,5
4306,0,5
4307,317149,3
4312,302716,5
4313,299113,5
4318,0,2
4319,574543,5
4322,472327,5
4323,611148,4
4324,587545,3
4325,564777,4
4328,300669,5
4330,291444,5
4331,206941,3
4338,604966,3
4339,580711,4
4340,600103,5
4345,1054974,3
4348,228874,4
4349,228469,4
4350,0,3
4352,664505,2
4353,638318,4
4355,2077546,1
4359,506891,4
4364,1066884,4
4367,248494,5
4369,629140,5
4371,244473,3
4372,0,5
4374,228461,4
4377,231727,3
4380,289573,2
4382,195260,2
4383,571774,3
4386,599156,3
4387,229876,4
4389,534888,4
4391,488508,3
4393,0,4
4394,288114,2
4396,232729,3
4397,296741,4
4402,739271,3
4403,500579,4
4405,279200,3
4409,272905,4
4411,502148,4
4412,508020,4
4413,296187,4
4418,228608,4
4423,569757,3
4426,507934,3
4427,295788,3
4431,228610,3
4433,93627,1
4434,507992,4
4438,1728322,3
4441,569702,4
4442,315080,3
4444,500552,3
4446,1143124,3
4448,571591,4
4450,228867,3
4454,206947,3
4456,260685,3
4459,304732,3
4462,593782,3
4465,125310,4
4466,228878,5
4467,260630,4
4468,1160937,4
4472,315069,2
4474,300089,3
4476,581313,5
4479,609988,3
4480,304658,5
4483,317207,4
4489,1489826,4
4490,1544047,3
4493,2293151,4
4499,2531353,3
4504,952231,3
4505,272968,4
